# control input, output
-2.651961458717733700e-01,-1.367765514604382948e-01
-2.748246703231240207e-01,-1.417804293787048864e-01
-2.844257125364625383e-01,-1.467374347579101790e-01
-2.939983124155676197e-01,-1.516460753840792042e-01
-3.035415127084293285e-01,-1.565048812234967612e-01
-3.130543591029701922e-01,-1.613124050506244134e-01
-3.225359003224789745e-01,-1.660672230645840464e-01
-3.319851882207340843e-01,-1.707679354939146965e-01
-3.414012778768209522e-01,-1.754131671893159605e-01
-3.507832276896198365e-01,-1.800015682040969345e-01
-3.601300994719685566e-01,-1.845318143620561513e-01
-3.694409585444771160e-01,-1.890026078125243425e-01
-3.787148738289980443e-01,-1.934126775723082337e-01
-3.879509179417303111e-01,-1.977607800542805216e-01
-3.971481672859601963e-01,-2.020456995823675939e-01
-4.063057021444168027e-01,-2.062662488926935989e-01
-4.154226067712462611e-01,-2.104212696206466948e-01
-4.244979694835825934e-01,-2.145096327736399355e-01
-4.335308827527177278e-01,-2.185302391893469698e-01
-4.425204432948524613e-01,-2.224820199791998354e-01
-4.514657521614231506e-01,-2.263639369569434567e-01
-4.603659148289983016e-01,-2.301749830520492257e-01
-4.692200412887271299e-01,-2.339141827077975411e-01
-4.780272461353428648e-01,-2.375805922638469792e-01
-4.867866486556993721e-01,-2.411733003231153472e-01
-4.954973729168449248e-01,-2.446914281028060578e-01
-5.041585478536114717e-01,-2.481341297694210912e-01
-5.127693073557237913e-01,-2.515005927576097755e-01
-5.213287903544064905e-01,-2.547900380727109448e-01
-5.298361409084934026e-01,-2.580017205768537769e-01
-5.382905082900176774e-01,-2.611349292584915771e-01
-5.466910470692871726e-01,-2.641889874852501596e-01
-5.550369171994238293e-01,-2.671632532399816906e-01
-5.633272841003700293e-01,-2.700571193399228243e-01
-5.715613187423437269e-01,-2.728700136388639841e-01
-5.797381977287431321e-01,-2.756013992122462453e-01
-5.878571033784827371e-01,-2.782507745251099340e-01
-5.959172238077642403e-01,-2.808176735828274984e-01
-6.039177530112606052e-01,-2.833016660645626406e-01
-6.118578909427192514e-01,-2.857023574394054188e-01
-6.197368435949632826e-01,-2.880193890651421840e-01
-6.275538230792936378e-01,-2.902524382696278216e-01
-6.353080477042756247e-01,-2.924012184147358751e-01
-6.429987420539088339e-01,-2.944654789428719499e-01
-6.506251370651673360e-01,-2.964450054060429607e-01
-6.581864701049049415e-01,-2.983396194774847188e-01
-6.656819850461191956e-01,-3.001491789458585746e-01
-6.731109323435616743e-01,-3.018735776920357661e-01
-6.804725691086940254e-01,-3.035127456484984498e-01
-6.877661591839737687e-01,-3.050666487413930539e-01
-6.949909732164719633e-01,-3.065352888152813593e-01
-7.021462887308054235e-01,-3.079187035406434902e-01
-7.092313902013861471e-01,-3.092169663041942629e-01
-7.162455691239705269e-01,-3.104301860820842252e-01
-7.231881240865121185e-01,-3.115585072960643243e-01
-7.300583608392995361e-01,-3.126021096527017984e-01
-7.368555923643833605e-01,-3.135612079657432716e-01
-7.435791389442746313e-01,-3.144360519617293015e-01
-7.502283282299190281e-01,-3.152269260689729014e-01
-7.568024953079282025e-01,-3.159341491900228283e-01
-7.633009827670733660e-01,-3.165580744577402017e-01
-7.697231407640243717e-01,-3.170990889751256203e-01
-7.760683270883322882e-01,-3.175576135390414945e-01
-7.823359072266528047e-01,-3.179341023479823058e-01
-7.885252544261950325e-01,-3.182290426940534989e-01
-7.946357497573973694e-01,-3.184429546393273136e-01
-8.006667821758176595e-01,-3.185763906767514198e-01
-8.066177485832405347e-01,-3.186299353757942043e-01
-8.124880538879842851e-01,-3.186042050130171166e-01
-8.182771110644102563e-01,-3.184998471877732440e-01
-8.239843412116257815e-01,-3.183175404232368999e-01
-8.296091736113708759e-01,-3.180579937529776635e-01
-8.351510457850934710e-01,-3.177219462932981964e-01
-8.406094035501945338e-01,-3.173101668015630983e-01
-8.459837010754465147e-01,-3.168234532207515608e-01
-8.512734009355744647e-01,-3.162626322104750698e-01
-8.564779741650011546e-01,-3.156285586647060715e-01
-8.615969003107405433e-01,-3.149221152164711213e-01
-8.666296674844442549e-01,-3.141442117297685854e-01
-8.715757724135881901e-01,-3.132957847789755723e-01
-8.764347204918013778e-01,-3.123777971160169309e-01
-8.812060258283253011e-01,-3.113912371255730949e-01
-8.858892112966026966e-01,-3.103371182686108787e-01
-8.904838085819885007e-01,-3.092164785145256611e-01
-8.949893582285834981e-01,-3.080303797621898876e-01
-8.994054096851776814e-01,-3.067799072502073732e-01
-9.037315213503056555e-01,-3.054661689566786076e-01
-9.079672606164054249e-01,-3.040902949887868134e-01
-9.121122039130803438e-01,-3.026534369625195620e-01
-9.161659367494549011e-01,-3.011567673728458572e-01
-9.201280537556240091e-01,-2.996014789546718737e-01
-9.239981587231879123e-01,-2.979887840349045858e-01
-9.277758646448754920e-01,-2.963199138759552986e-01
-9.314607937532425330e-01,-2.945961180110198141e-01
-9.350525775584493937e-01,-2.928186635714757902e-01
-9.385508568851078648e-01,-2.909888346067411313e-01
-9.419552819082009920e-01,-2.891079313969412978e-01
-9.452655121880633171e-01,-2.871772697587364198e-01
-9.484812167044256448e-01,-2.851981803446621000e-01
-9.516020738895160092e-01,-2.831720079363412856e-01
-9.546277716602163954e-01,-2.811001107319268666e-01
-9.575580074492711091e-01,-2.789838596281376537e-01
-9.603924882355433512e-01,-2.768246374972522794e-01
-9.631309305733166681e-01,-2.746238384594286708e-01
-9.657730606206388346e-01,-2.723828671507178001e-01
-9.683186141667071700e-01,-2.701031379871432492e-01
-9.707673366582882934e-01,-2.677860744252190117e-01
-9.731189832251738725e-01,-2.654331082192797897e-01
-9.753733187046664810e-01,-2.630456786759997057e-01
-9.775301176650970092e-01,-2.606252319064757961e-01
-9.795891644283668542e-01,-2.581732200762538731e-01
-9.815502530915155566e-01,-2.556911006536754516e-01
-9.834131875473107742e-01,-2.531803356569243268e-01
-9.851777815038594843e-01,-2.506423909001522787e-01
-9.868438585032365262e-01,-2.480787352390632361e-01
-9.884112519391305973e-01,-2.454908398163355987e-01
-9.898798050735039267e-01,-2.428801773072614967e-01
-9.912493710522669588e-01,-2.402482211659822120e-01
-9.925198129199631625e-01,-2.375964448726979039e-01
-9.936910036334645202e-01,-2.349263211822291142e-01
-9.947628260746755879e-01,-2.322393213743064455e-01
-9.957351730622453490e-01,-2.295369145059639460e-01
-9.966079473622855289e-01,-2.268205666664100950e-01
-9.973810616980932631e-01,-2.240917402347490373e-01
-9.980544387588794475e-01,-2.213518931409226564e-01
-9.986280112074988891e-01,-2.186024781302425557e-01
-9.991017216871848072e-01,-2.158449420318785672e-01
-9.994755228272840242e-01,-2.130807250316685553e-01
-9.997493772479939533e-01,-2.103112599496115287e-01
-9.999232575641008314e-01,-2.075379715224034693e-01
-9.999971463877179723e-01,-2.047622756913725917e-01
-9.999710363300244875e-01,-2.019855788961679721e-01
-9.998449300020043617e-01,-1.992092773745516299e-01
-9.996188400141854391e-01,-1.964347564686418357e-01
-9.992927889753779880e-01,-1.936633899379508750e-01
-9.988668094904141759e-01,-1.908965392795576865e-01
-9.983409441568875664e-01,-1.881355530557514699e-01
-9.977152455608933046e-01,-1.853817662294783286e-01
-9.969897762717695455e-01,-1.826364995079192699e-01
-9.961646088358406814e-01,-1.799010586945231083e-01
-9.952398257691625894e-01,-1.771767340498135723e-01
-9.942155195492713426e-01,-1.744647996612850582e-01
-9.930917926059353862e-01,-1.717665128226970872e-01
-9.918687573109126188e-01,-1.690831134230719734e-01
-9.905465359667131597e-01,-1.664158233456957403e-01
-9.891252607943697983e-01,-1.637658458774164383e-01
-9.876050739202153483e-01,-1.611343651285292444e-01
-9.859861273616703503e-01,-1.585225454635316722e-01
-9.842685830120415647e-01,-1.559315309430268359e-01
-9.824526126243324775e-01,-1.533624447770469135e-01
-9.805383977940689277e-01,-1.508163887900626499e-01
-9.785261299411385227e-01,-1.482944428979393048e-01
-9.764160102906497274e-01,-1.457976645970924523e-01
-9.742082498528090717e-01,-1.433270884660915734e-01
-9.719030694018208072e-01,-1.408837256799522208e-01
-9.695006994538087897e-01,-1.384685635373512358e-01
-9.670013802437660289e-01,-1.360825650009930832e-01
-9.644053617015304614e-01,-1.337266682513479910e-01
-9.617129034267933863e-01,-1.314017862539764159e-01
-9.589242746631384540e-01,-1.291088063406466979e-01
-9.560397542711180918e-01,-1.268485898044459936e-01
-9.530596307003674772e-01,-1.246219715090774727e-01
-9.499842019607608323e-01,-1.224297595125292126e-01
-9.468137755926089305e-01,-1.202727347052929968e-01
-9.435486686359065844e-01,-1.181516504633038367e-01
-9.401892075986283404e-01,-1.160672323157632829e-01
-9.367357284240789284e-01,-1.140201776280022061e-01
-9.331885764572975805e-01,-1.120111552995308735e-01
-9.295481064105250990e-01,-1.100408054774164174e-01
-9.258146823277321191e-01,-1.081097392851200351e-01
-9.219886775482162289e-01,-1.062185385669182913e-01
-9.180704746692669449e-01,-1.043677556480249596e-01
-9.140604655079069829e-01,-1.025579131105218839e-01
-9.099590510617105998e-01,-1.007895035851992249e-01
-9.057666414687044476e-01,-9.906298955939742135e-02
-9.014836559663548243e-01,-9.737880320093499076e-02
-8.971105228496424333e-01,-9.573734619819819491e-02
-8.926476794282346416e-01,-9.413898961646030572e-02
-8.880955719827542394e-01,-9.258407377049002185e-02
-8.834546557201531369e-01,-9.107290811350030046e-02
-8.787253947281898903e-01,-8.960577114248059749e-02
-8.739082619290223786e-01,-8.818291031994718310e-02
-8.690037390319160782e-01,-8.680454201213787246e-02
-8.640123164850743720e-01,-8.547085144366931009e-02
-8.589344934265920051e-01,-8.418199266866634167e-02
-8.537707776345433430e-01,-8.293808855836504179e-02
-8.485216854762041017e-01,-8.173923080518237516e-02
-8.431877418564167614e-01,-8.058547994323715657e-02
-8.377694801650977796e-01,-7.947686538529891154e-02
-8.322674422239012548e-01,-7.841338547613263543e-02
-8.266821782320357137e-01,-7.739500756219938604e-02
-8.210142467112470088e-01,-7.642166807766438696e-02
-8.152642144499634425e-01,-7.549327264665603443e-02
-8.094326564466194363e-01,-7.460969620171097050e-02
-8.035201558521553045e-01,-7.377078311833253077e-02
-7.975273039117042329e-01,-7.297634736558127055e-02
-7.914546999054660192e-01,-7.222617267260880713e-02
-7.853029510887805653e-01,-7.152001271103769486e-02
-7.790726726314031181e-01,-7.085759129308240312e-02
-7.727644875559871451e-01,-7.023860258529841805e-02
-7.663790266757843916e-01,-6.966271133783882852e-02
-7.599169285315610090e-01,-6.912955312908963812e-02
-7.533788393277465190e-01,-6.863873462554785643e-02
-7.467654128678122838e-01,-6.818983385679823483e-02
-7.400773104888943577e-01,-6.778240050543736517e-02
-7.333152009956565021e-01,-6.741595621178622655e-02
-7.264797605934131264e-01,-6.708999489322491072e-02
-7.195716728205074908e-01,-6.680398307797583146e-02
-7.125916284799614919e-01,-6.655736025315472926e-02
-7.055403255703919241e-01,-6.634953922690151051e-02
-6.984184692162135333e-01,-6.617990650439596612e-02
-6.912267715971264215e-01,-6.604782267755651692e-02
-6.839659518769006796e-01,-6.595262282821333366e-02
-6.766367361314569173e-01,-6.589361694454042018e-02
-6.692398572762620068e-01,-6.587009035052476813e-02
-6.617760549930369329e-01,-6.588130414824400205e-02
-6.542460756557914037e-01,-6.592649567271788302e-02
-6.466506722561834453e-01,-6.600487895909247504e-02
-6.389906043282237436e-01,-6.611564522190990778e-02
-6.312666378723208460e-01,-6.625796334621060490e-02
