q1, q2, concentration
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.536719572699992485e-06
0.000000000000000000e+00 0.000000000000000000e+00 1.416439342847493704e-05
0.000000000000000000e+00 0.000000000000000000e+00 3.190889366861383533e-05
0.000000000000000000e+00 0.000000000000000000e+00 5.679554418893463145e-05
0.000000000000000000e+00 0.000000000000000000e+00 8.884910263724733661e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.280937418158146894e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.745530305272606855e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.282499138626862926e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.892066929310195523e-04
0.000000000000000000e+00 0.000000000000000000e+00 3.574450040290965726e-04
0.000000000000000000e+00 0.000000000000000000e+00 4.329857972523223626e-04
0.000000000000000000e+00 0.000000000000000000e+00 5.194387377958708347e-04
0.000000000000000000e+00 0.000000000000000000e+00 6.204322415806740564e-04
0.000000000000000000e+00 0.000000000000000000e+00 7.360133413240403091e-04
0.000000000000000000e+00 0.000000000000000000e+00 8.662262444697868590e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.011107936517948933e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.170694920956391128e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.345020304560899660e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.534106571944946406e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.737976473609747141e-03
0.000000000000000000e+00 0.000000000000000000e+00 1.956650099792353083e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.190143727285495581e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.438469753194397877e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.701636629551290320e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.979648798870374905e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.272506630727620418e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.580206359450442341e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.902740023003671479e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.240095403158898775e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.592255967035211404e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.959200810099940668e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.340904600718684482e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.741021869765940491e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.163216465154378564e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.607468017093559229e-03
0.000000000000000000e+00 0.000000000000000000e+00 7.073748538619812308e-03
0.000000000000000000e+00 0.000000000000000000e+00 7.562015475972165383e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.072178771027224004e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.604168209362758613e-03
