q1, q2, concentration
9.989623184354285979e-01 9.989623184354285979e-01 0.000000000000000000e+00
9.987413033369747506e-01 9.987413033369747506e-01 0.000000000000000000e+00
9.984989817952611979e-01 9.984989817952611979e-01 1.000000000000000000e+00
9.982353589798049764e-01 9.982353589798049764e-01 1.000000000000000000e+00
9.979504405145495083e-01 9.979504405145495083e-01 1.000000000000000000e+00
9.976442324777445858e-01 9.976442324777445858e-01 1.000000000000000000e+00
9.973167414018166976e-01 9.973167414018166976e-01 1.000000000000000000e+00
9.969679742732296956e-01 9.969679742732296956e-01 1.000000000000000000e+00
9.965979385323358031e-01 9.965979385323358031e-01 1.000000000000000000e+00
9.962066420732167416e-01 9.962066420732167416e-01 1.000000000000000000e+00
9.957940932435155323e-01 9.957940932435155323e-01 1.000000000000000000e+00
9.953603008442580835e-01 9.953603008442580835e-01 1.000000000000000000e+00
9.949052741296660063e-01 9.949052741296660063e-01 1.000000000000000000e+00
9.944290228069585513e-01 9.944290228069585513e-01 1.000000000000000000e+00
9.939315570361457741e-01 9.939315570361457741e-01 1.000000000000000000e+00
9.934128874298120415e-01 9.934128874298120415e-01 1.000000000000000000e+00
9.928730250528892132e-01 9.928730250528892132e-01 1.000000000000000000e+00
9.923119814224208302e-01 9.923119814224208302e-01 1.000000000000000000e+00
9.917297685073164226e-01 9.917297685073164226e-01 1.000000000000000000e+00
9.911263987280961585e-01 9.911263987280961585e-01 1.000000000000000000e+00
9.905018849566257222e-01 9.905018849566257222e-01 1.000000000000000000e+00
9.898562405158418676e-01 9.898562405158418676e-01 1.000000000000000000e+00
9.891894791794682007e-01 9.891894791794682007e-01 1.000000000000000000e+00
9.885016151717213040e-01 9.885016151717213040e-01 1.000000000000000000e+00
9.877926631670072011e-01 9.877926631670072011e-01 1.000000000000000000e+00
9.870626382896086071e-01 9.870626382896086071e-01 1.000000000000000000e+00
9.863115561133616316e-01 9.863115561133616316e-01 1.000000000000000000e+00
9.855394326613243772e-01 9.855394326613243772e-01 1.000000000000000000e+00
9.847462844054344355e-01 9.847462844054344355e-01 1.000000000000000000e+00
9.839321282661579460e-01 9.839321282661579460e-01 1.000000000000000000e+00
9.830969816121283289e-01 9.830969816121283289e-01 1.000000000000000000e+00
9.822408622597758043e-01 9.822408622597758043e-01 1.000000000000000000e+00
9.813637884729473626e-01 9.813637884729473626e-01 1.000000000000000000e+00
9.804657789625174091e-01 9.804657789625174091e-01 1.000000000000000000e+00
9.795468528859879731e-01 9.795468528859879731e-01 1.000000000000000000e+00
9.786070298470804785e-01 9.786070298470804785e-01 1.000000000000000000e+00
9.776463298953174119e-01 9.776463298953174119e-01 1.000000000000000000e+00
9.766647735255947760e-01 9.766647735255947760e-01 1.000000000000000000e+00
9.756623816777444391e-01 9.756623816777444391e-01 1.000000000000000000e+00
9.746391757360879371e-01 9.746391757360879371e-01 1.000000000000000000e+00
9.735951775289797272e-01 9.735951775289797272e-01 1.000000000000000000e+00
9.725304093283421158e-01 9.725304093283421158e-01 1.000000000000000000e+00
9.714448938491895280e-01 9.714448938491895280e-01 1.000000000000000000e+00
9.703386542491445610e-01 9.703386542491445610e-01 1.000000000000000000e+00
9.692117141279431580e-01 9.692117141279431580e-01 1.000000000000000000e+00
9.680640975269318993e-01 9.680640975269318993e-01 1.000000000000000000e+00
9.668958289285548569e-01 9.668958289285548569e-01 1.000000000000000000e+00
9.657069332558310126e-01 9.657069332558310126e-01 1.000000000000000000e+00
9.644974358718230167e-01 9.644974358718230167e-01 1.000000000000000000e+00
9.632673625790959537e-01 9.632673625790959537e-01 1.000000000000000000e+00
9.620167396191665610e-01 9.620167396191665610e-01 1.000000000000000000e+00
9.607455936719440093e-01 9.607455936719440093e-01 1.000000000000000000e+00
9.594539518551602475e-01 9.594539518551602475e-01 1.000000000000000000e+00
9.581418417237917984e-01 9.581418417237917984e-01 1.000000000000000000e+00
9.568092912694716734e-01 9.568092912694716734e-01 1.000000000000000000e+00
9.554563289198922948e-01 9.554563289198922948e-01 1.000000000000000000e+00
9.540829835381990920e-01 9.540829835381990920e-01 1.000000000000000000e+00
9.526892844223749934e-01 9.526892844223749934e-01 1.000000000000000000e+00
9.512752613046147054e-01 9.512752613046147054e-01 1.000000000000000000e+00
9.498409443506913297e-01 9.498409443506913297e-01 9.996846545903034231e-01
9.483863641593119898e-01 9.483863641593119898e-01 9.987796491285675371e-01
9.469115517614657973e-01 9.469115517614657973e-01 9.973434135219402252e-01
9.454165386197610488e-01 9.454165386197610488e-01 9.954302637533404274e-01
9.439013566277548728e-01 9.439013566277548728e-01 9.930904970417885336e-01
9.423660381092723304e-01 9.423660381092723304e-01 9.903705282342413208e-01
9.408106158177168554e-01 9.408106158177168554e-01 9.873130560223793983e-01
9.392351229353717024e-01 9.392351229353717024e-01 9.839572495203566804e-01
9.376395930726919570e-01 9.376395930726919570e-01 9.803389474737250753e-01
9.360240602675874433e-01 9.360240602675874433e-01 9.764908638885529957e-01
9.343885589846968598e-01 9.343885589846968598e-01 9.724427951781043911e-01
9.327331241146520346e-01 9.327331241146520346e-01 9.682218250349939881e-01
9.310577909733342983e-01 9.310577909733342983e-01 9.638525241666831000e-01
9.293625953011203089e-01 9.293625953011203089e-01 9.593571428009322055e-01
9.276475732621201065e-01 9.276475732621201065e-01 9.547557944953253273e-01
9.259127614434055076e-01 9.259127614434055076e-01 9.500666302906447536e-01
9.241581968542296188e-01 9.241581968542296188e-01 9.453060026497996926e-01
9.223839169252370240e-01 9.223839169252370240e-01 9.404886189387671180e-01
9.205899595076655340e-01 9.205899595076655340e-01 9.356276844482113164e-01
9.187763628725388321e-01 9.187763628725388321e-01 9.307350351370182739e-01
9.169431657098495725e-01 9.169431657098495725e-01 9.258212604129351098e-01
9.150904071277344842e-01 9.150904071277344842e-01 9.208958163603083724e-01
9.132181266516395945e-01 9.132181266516395945e-01 9.159671298884896062e-01
9.113263642234774586e-01 9.113263642234774586e-01 9.110426943134298794e-01
9.094151602007747304e-01 9.094151602007747304e-01 9.061291569048253169e-01
9.074845553558114064e-01 9.074845553558114064e-01 9.012323989363220100e-01
9.055345908747510775e-01 9.055345908747510775e-01 8.963576087704469009e-01
9.035653083567619648e-01 9.035653083567619648e-01 8.915245673669511817e-01
9.015767498131297408e-01 9.015767498131297408e-01 8.867690239623784443e-01
8.995689576663612463e-01 8.995689576663612463e-01 8.821121624285291896e-01
8.975419747492795475e-01 8.975419747492795475e-01 8.775590530987076310e-01
8.954958443041100002e-01 8.954958443041100002e-01 8.731136825245402466e-01
8.934306099815577662e-01 8.934306099815577662e-01 8.687790585994411563e-01
8.913463158398767794e-01 8.913463158398767794e-01 8.645735047431472031e-01
8.892430063439297205e-01 8.892430063439297205e-01 8.605147320327044547e-01
8.871207263642392205e-01 8.871207263642392205e-01 8.566033752396992051e-01
8.849795211760311808e-01 8.849795211760311808e-01 8.528391330035940410e-01
8.828194364582684361e-01 8.828194364582684361e-01 8.491299509050579397e-01
8.806405182926761999e-01 8.806405182926761999e-01 8.453946364451873086e-01
8.784428131627596281e-01 8.784428131627596281e-01 8.416474047073139175e-01
